"URXMPB.Code.or.Value","URXMPB.Value.Description","URXMPB.Count","URXMPB.Cumulative","URXMPB.Skip.to.Item"
"0.71 to 17300","Range of Values",2548,2548,NA
".","Missing",90,2638,NA
