"DR2DAY.Code.or.Value","DR2DAY.Value.Description","DR2DAY.Count","DR2DAY.Cumulative","DR2DAY.Skip.to.Item"
"1","Sunday",1257,1257,NA
"2","Monday",1556,2813,NA
"3","Tuesday",1455,4268,NA
"4","Wednesday",1771,6039,NA
"5","Thursday",726,6765,NA
"6","Friday",716,7481,NA
"7","Saturday",180,7661,NA
".","Missing",1677,9338,NA
