"URXDCB.Code.or.Value","URXDCB.Value.Description","URXDCB.Count","URXDCB.Cumulative","URXDCB.Skip.to.Item"
"0.14 to 933","Range of Values",2604,2604,NA
".","Missing",114,2718,NA
