"DS1INIAC.Code.or.Value","DS1INIAC.Value.Description","DS1INIAC.Count","DS1INIAC.Cumulative","DS1INIAC.Skip.to.Item"
"0.3 to 2400","Range of Values",1381,1381,NA
".","Missing",3989,5370,NA
