"WBXA015.Code.or.Value","WBXA015.Value.Description","WBXA015.Count","WBXA015.Cumulative","WBXA015.Skip.to.Item"
"-2.2934 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
