"DBQ370.Code.or.Value","DBQ370.Value.Description","DBQ370.Count","DBQ370.Cumulative","DBQ370.Skip.to.Item"
"1","Yes",2422,2422,""
"2","No",121,2543,"DBQ400"
"7","Refused",0,2543,"DBQ400"
"9","Don't know",1,2544,"DBQ400"
".","Missing",7212,9756,""
