"WBXF079.Code.or.Value","WBXF079.Value.Description","WBXF079.Count","WBXF079.Cumulative","WBXF079.Skip.to.Item"
"3563.5949 to 3563.5949","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
