"AUDTYL59.Code.or.Value","AUDTYL59.Value.Description","AUDTYL59.Count","AUDTYL59.Cumulative","AUDTYL59.Skip.to.Item"
"0 to 2.56","Range of Values",2756,2756,NA
".","Missing",278,3034,NA
