"AUDTYR28.Code.or.Value","AUDTYR28.Value.Description","AUDTYR28.Count","AUDTYR28.Cumulative","AUDTYR28.Skip.to.Item"
"0 to 1.81","Range of Values",1774,1774,NA
".","Missing",115,1889,NA
