"DXXPT36X.Code.or.Value","DXXPT36X.Value.Description","DXXPT36X.Count","DXXPT36X.Cumulative","DXXPT36X.Skip.to.Item"
"172.1 to 816.6","Range of Values",3292,3292,NA
".","Missing",416,3708,NA
