"AUDTYL12.Code.or.Value","AUDTYL12.Value.Description","AUDTYL12.Count","AUDTYL12.Cumulative","AUDTYL12.Skip.to.Item"
"0 to 1.56","Range of Values",1893,1893,NA
".","Missing",153,2046,NA
