"DRD370B.Code.or.Value","DRD370B.Value.Description","DRD370B.Count","DRD370B.Cumulative","DRD370B.Skip.to.Item"
"1","Yes",1097,1097,""
"2","No",930,2027,"DRD370C"
".","Missing",8450,10477,""
