"RHQ060.Code.or.Value","RHQ060.Value.Description","RHQ060.Count","RHQ060.Cumulative","RHQ060.Skip.to.Item"
"13 to 80","Range of Values",1076,1076,NA
"777","Refused",0,1076,NA
"999","Don't know",79,1155,NA
".","Missing",2710,3865,NA
