"DXXIPX.Code.or.Value","DXXIPX.Value.Description","DXXIPX.Count","DXXIPX.Cumulative","DXXIPX.Skip.to.Item"
"162.6 to 812.4","Range of Values",3293,3293,NA
".","Missing",415,3708,NA
