"LBD4CELC.Code.or.Value","LBD4CELC.Value.Description","LBD4CELC.Count","LBD4CELC.Cumulative","LBD4CELC.Skip.to.Item"
"0","At or above detection limit",0,0,NA
"1","Below lower detection limit",2866,2866,NA
".","Missing",306,3172,NA
