"DR1ISODI.Code.or.Value","DR1ISODI.Value.Description","DR1ISODI.Count","DR1ISODI.Cumulative","DR1ISODI.Skip.to.Item"
"0 to 8868","Range of Values",120433,120433,NA
".","Missing",1048,121481,NA
