"WTUIO2YR.Code.or.Value","WTUIO2YR.Value.Description","WTUIO2YR.Count","WTUIO2YR.Cumulative","WTUIO2YR.Skip.to.Item"
"0 to 663502.48","Range of Values",2720,2720,NA
".","Missing",0,2720,NA
