"AUXU500R.Code.or.Value","AUXU500R.Value.Description","AUXU500R.Count","AUXU500R.Cumulative","AUXU500R.Skip.to.Item"
"-10 to 120","Range of Values",1767,1767,NA
"666","No response",0,1767,NA
"888","Could not obtain",1,1768,NA
".","Missing",121,1889,NA
