"WBXA003.Code.or.Value","WBXA003.Value.Description","WBXA003.Count","WBXA003.Cumulative","WBXA003.Skip.to.Item"
"-3.8089 to 0.9566","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
