"URDUASLC.Code.or.Value","URDUASLC.Value.Description","URDUASLC.Count","URDUASLC.Cumulative","URDUASLC.Skip.to.Item"
"0","At or above the detection limit",2558,2558,NA
"1","Below lower detection limit",18,2576,NA
".","Missing",116,2692,NA
