"RHQ460Q.Code.or.Value","RHQ460Q.Value.Description","RHQ460Q.Count","RHQ460Q.Cumulative","RHQ460Q.Skip.to.Item"
"1 to 54","Range of Values",1406,1406,NA
"77","Refused",0,1406,NA
"99","Don't know",10,1416,NA
".","Missing",2101,3517,NA
