"PAXNWMD.Code.or.Value","PAXNWMD.Value.Description","PAXNWMD.Count","PAXNWMD.Cumulative","PAXNWMD.Skip.to.Item"
"0 to 1440","Range of Values",69018,69018,NA
".","Missing",0,69018,NA
