"ARQ112B.Code.or.Value","ARQ112B.Value.Description","ARQ112B.Count","ARQ112B.Cumulative","ARQ112B.Skip.to.Item"
"2","LOCATION B",258,258,NA
".","Missing",4848,5106,NA
