"DBD900.Code.or.Value","DBD900.Value.Description","DBD900.Count","DBD900.Cumulative","DBD900.Skip.to.Item"
"1 to 21","Range of Values",5218,5218,NA
"0","None",1593,6811,NA
"5555","More than 21 meals per week",2,6813,NA
"7777","Refused",0,6813,NA
"9999","Don't know",3,6816,NA
".","Missing",2438,9254,NA
