"DRD370DQ.Code.or.Value","DRD370DQ.Value.Description","DRD370DQ.Count","DRD370DQ.Cumulative","DRD370DQ.Skip.to.Item"
"1 to 15","Range of Values",872,872,NA
".","Missing",9078,9950,NA
