"AUDTYL08.Code.or.Value","AUDTYL08.Value.Description","AUDTYL08.Count","AUDTYL08.Cumulative","AUDTYL08.Skip.to.Item"
"0 to 2.22","Range of Values",2756,2756,NA
".","Missing",278,3034,NA
