"URDTIME3.Code.or.Value","URDTIME3.Value.Description","URDTIME3.Count","URDTIME3.Cumulative","URDTIME3.Skip.to.Item"
"5 to 180","Range of Values",99,99,NA
".","Missing",8192,8291,NA
