"URDPMALC.Code.or.Value","URDPMALC.Value.Description","URDPMALC.Count","URDPMALC.Cumulative","URDPMALC.Skip.to.Item"
"0","At or above the detection limit",1158,1158,NA
"1","Below lower detection limit",1198,2356,NA
".","Missing",106,2462,NA
