"DS2TIODI.Code.or.Value","DS2TIODI.Value.Description","DS2TIODI.Count","DS2TIODI.Cumulative","DS2TIODI.Skip.to.Item"
"3.75 to 12575","Range of Values",1149,1149,NA
".","Missing",8189,9338,NA
