"LBCBR6.Code.or.Value","LBCBR6.Value.Description","LBCBR6.Count","LBCBR6.Cumulative","LBCBR6.Skip.to.Item"
"6.192 to 184.8","Range of Values",301,301,NA
".","Missing",0,301,NA
