"URDUBELC.Code.or.Value","URDUBELC.Value.Description","URDUBELC.Count","URDUBELC.Cumulative","URDUBELC.Skip.to.Item"
"0","At or above the detection limit",24,24,NA
"1","Below lower detection limit",2534,2558,NA
".","Missing",115,2673,NA
