"KIQ381.Code.or.Value","KIQ381.Value.Description","KIQ381.Count","KIQ381.Cumulative","KIQ381.Skip.to.Item"
"1","Yes",463,463,NA
"2","No",605,1068,NA
"7","Refused",0,1068,NA
"9","Don't know",12,1080,NA
".","Missing",1195,2275,NA
