"URDUA3LC.Code.or.Value","URDUA3LC.Value.Description","URDUA3LC.Count","URDUA3LC.Cumulative","URDUA3LC.Skip.to.Item"
"0","At or above the detection limit",89,89,NA
"1","Below lower detection limit",2487,2576,NA
".","Missing",144,2720,NA
