"LBXTLAL.Code.or.Value","LBXTLAL.Value.Description","LBXTLAL.Count","LBXTLAL.Cumulative","LBXTLAL.Skip.to.Item"
"0.1 to 2.38","Range of Values",1561,1561,NA
".","Missing",763,2324,NA
