"LBXTSH1.Code.or.Value","LBXTSH1.Value.Description","LBXTSH1.Count","LBXTSH1.Cumulative","LBXTSH1.Skip.to.Item"
"0.035 to 99.564","Range of Values",2365,2365,NA
".","Missing",179,2544,NA
