"SSAMH.Code.or.Value","SSAMH.Value.Description","SSAMH.Count","SSAMH.Cumulative","SSAMH.Skip.to.Item"
"0.002 to 112.684","Range of Values",370,370,NA
".","Missing",37,407,NA
