"RFXC099.Code.or.Value","RFXC099.Value.Description","RFXC099.Count","RFXC099.Cumulative","RFXC099.Skip.to.Item"
"-7.653 to 4.829","Range of Values",51062,51062,NA
".","Missing",14,51076,NA
