"SPQ020.Code.or.Value","SPQ020.Value.Description","SPQ020.Count","SPQ020.Cumulative","SPQ020.Skip.to.Item"
"1","Yes",587,587,""
"2","No",6361,6948,"SPQ040"
"7","Refused",0,6948,""
"9","Don't know",2,6950,""
".","Missing",793,7743,""
