"WTSHM35.Code.or.Value","WTSHM35.Value.Description","WTSHM35.Count","WTSHM35.Cumulative","WTSHM35.Skip.to.Item"
"0.0000000 to 752432.0350200","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
