"TYXP008.Code.or.Value","TYXP008.Value.Description","TYXP008.Count","TYXP008.Cumulative","TYXP008.Skip.to.Item"
"110 to 195","Range of Values",5584,5584,NA
".","Missing",1,5585,NA
