"DS2IIODI.Code.or.Value","DS2IIODI.Value.Description","DS2IIODI.Count","DS2IIODI.Cumulative","DS2IIODI.Skip.to.Item"
"3.75 to 37500","Range of Values",1112,1112,NA
".","Missing",4486,5598,NA
