"DSQTIRON.Code.or.Value","DSQTIRON.Value.Description","DSQTIRON.Count","DSQTIRON.Cumulative","DSQTIRON.Skip.to.Item"
"0.0133 to 195","Range of Values",1209,1209,NA
".","Missing",8966,10175,NA
