"AUXRR155.Code.or.Value","AUXRR155.Value.Description","AUXRR155.Count","AUXRR155.Cumulative","AUXRR155.Skip.to.Item"
"-17 to 76","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
