"DR2DAY.Code.or.Value","DR2DAY.Value.Description","DR2DAY.Count","DR2DAY.Cumulative","DR2DAY.Skip.to.Item"
"1","Sunday",1159,1159,NA
"2","Monday",1313,2472,NA
"3","Tuesday",1083,3555,NA
"4","Wednesday",1191,4746,NA
"5","Thursday",626,5372,NA
"6","Friday",410,5782,NA
"7","Saturday",121,5903,NA
".","Missing",0,5903,NA
