"AUXLR123.Code.or.Value","AUXLR123.Value.Description","AUXLR123.Count","AUXLR123.Cumulative","AUXLR123.Skip.to.Item"
"-24 to 40","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
