"WTMREP25.Code.or.Value","WTMREP25.Value.Description","WTMREP25.Count","WTMREP25.Cumulative","WTMREP25.Skip.to.Item"
"0 to 261361.7708","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
