"PUD060.Code.or.Value","PUD060.Value.Description","PUD060.Count","PUD060.Cumulative","PUD060.Skip.to.Item"
"1","Yes",1551,1551,""
"2","No",5130,6681,"End of Section"
".","Missing",3284,9965,""
