"DR1IALCO.Code.or.Value","DR1IALCO.Value.Description","DR1IALCO.Count","DR1IALCO.Cumulative","DR1IALCO.Skip.to.Item"
"0 to 337","Range of Values",145826,145826,NA
".","Missing",1114,146940,NA
