"URXUSB.Code.or.Value","URXUSB.Value.Description","URXUSB.Count","URXUSB.Cumulative","URXUSB.Skip.to.Item"
"0.016 to 4.285","Range of Values",2808,2808,NA
".","Missing",171,2979,NA
