"MCQ240DK.Code.or.Value","MCQ240DK.Value.Description","MCQ240DK.Count","MCQ240DK.Cumulative","MCQ240DK.Skip.to.Item"
"55","55",1,1,NA
"80","80 years or older",0,1,NA
"77777","Refused",0,1,NA
"99999","Don't know",0,1,NA
".","Missing",9665,9666,NA
