"BIXS304K.Code.or.Value","BIXS304K.Value.Description","BIXS304K.Count","BIXS304K.Cumulative","BIXS304K.Skip.to.Item"
"35.23 to 866.81","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
