"OPX1OSBS.Code.or.Value","OPX1OSBS.Value.Description","OPX1OSBS.Count","OPX1OSBS.Cumulative","OPX1OSBS.Skip.to.Item"
"0","Test not performed",21,21,NA
"1","0/3",2107,2128,NA
"2","1/3",297,2425,NA
"3","2/3",72,2497,NA
"4","3/3",32,2529,NA
".","Missing",405,2934,NA
