"RFXT122.Code.or.Value","RFXT122.Value.Description","RFXT122.Count","RFXT122.Cumulative","RFXT122.Skip.to.Item"
"1061 to 1070","Range of Values",51057,51057,NA
".","Missing",19,51076,NA
