"AUXLR172.Code.or.Value","AUXLR172.Value.Description","AUXLR172.Count","AUXLR172.Cumulative","AUXLR172.Skip.to.Item"
"-9 to 62","Range of Values",1883,1883,NA
".","Missing",163,2046,NA
