"SMQ690G.Code.or.Value","SMQ690G.Value.Description","SMQ690G.Count","SMQ690G.Cumulative","SMQ690G.Skip.to.Item"
"7","Water pipes or Hookahs",38,38,NA
".","Missing",6706,6744,NA
