"URDUA5LC.Code.or.Value","URDUA5LC.Value.Description","URDUA5LC.Count","URDUA5LC.Cumulative","URDUA5LC.Skip.to.Item"
"0","At or above the detection limit",46,46,NA
"1","Below lower detection limit",2475,2521,NA
".","Missing",84,2605,NA
