"AUDTYL02.Code.or.Value","AUDTYL02.Value.Description","AUDTYL02.Count","AUDTYL02.Cumulative","AUDTYL02.Skip.to.Item"
"0 to 1.47","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
