"SMQ863.Code.or.Value","SMQ863.Value.Description","SMQ863.Count","SMQ863.Cumulative","SMQ863.Skip.to.Item"
"1","Yes",23,23,""
"2","No",5108,5131,"SMDANY"
"7","Refused",0,5131,"SMDANY"
"9","Don't know",0,5131,"SMDANY"
".","Missing",1270,6401,""
