"DEQ038G.Code.or.Value","DEQ038G.Value.Description","DEQ038G.Count","DEQ038G.Cumulative","DEQ038G.Skip.to.Item"
"1","Enter number",1266,1266,""
"2","Never",2137,3403,"DEQ053"
"7","Refused",0,3403,"DEQ053"
"9","Don't know",2,3405,"DEQ053"
".","Missing",4,3409,""
