"AUXLR164.Code.or.Value","AUXLR164.Value.Description","AUXLR164.Count","AUXLR164.Cumulative","AUXLR164.Skip.to.Item"
"-15 to 67","Range of Values",3831,3831,NA
".","Missing",669,4500,NA
