"DXDTOTOT.Code.or.Value","DXDTOTOT.Value.Description","DXDTOTOT.Count","DXDTOTOT.Cumulative","DXDTOTOT.Skip.to.Item"
"17913.4 to 178619.1","Range of Values",4598,4598,NA
".","Missing",1182,5780,NA
