"BPXML1.Code.or.Value","BPXML1.Value.Description","BPXML1.Count","BPXML1.Cumulative","BPXML1.Skip.to.Item"
"0 to 260","Range of Values",7072,7072,NA
"888","Could not obtain",7,7079,NA
".","Missing",2259,9338,NA
