"URDTTCLC.Code.or.Value","URDTTCLC.Value.Description","URDTTCLC.Count","URDTTCLC.Cumulative","URDTTCLC.Skip.to.Item"
"0","At or above the detection limit",876,876,NA
"1","Below lower detection limit",1590,2466,NA
".","Missing",85,2551,NA
