"AAXRMTMP.Code.or.Value","AAXRMTMP.Value.Description","AAXRMTMP.Count","AAXRMTMP.Cumulative","AAXRMTMP.Skip.to.Item"
"50.1 to 95.6","Range of Values",6960,6960,NA
".","Missing",2480,9440,NA
